;;;;;;
;1;Aphex Twin - Xtal (1992)\n\n Selected Ambient Works 85-92 gilt sicherlich als einer der bedeutendsten Ambient Alben aller Zeiten und als einer der besten Alben in der Musikgeschichte (wenn man kritischen Fachzeitschriften glauben schenkt).  Es ist ein Wegbereiter der modernen IDM-Bewegung und bricht mit vielen Strukturen des damaligen Verständnisses elektronisch komponierter Musik. Anstatt harter Acid Sounds aus Detroit, der aufkommenden House Bewegung aus allen Teilen Europa oder dem schnellen Rhythmus von Trance ist SAW 85-92 viel organischer, weicher und vermittelt Nostalgie. Ein toller Begleiter für spätsommerliche Abende.;;;;
;2;Boards of Canada - Dayvan Cowboy (2005) \n\n Was wäre Trip Hop ohne BoC? Wer einmal Kindheitserinnerungen und Nostalgie zum Mitnehmen auf die Ohren haben will, kommt an BoC nicht vorbei. Verspielte, vielseitige und multiinstrumentale Klänge waren schon immer sounds die mich wahnsinnig angezogen haben.;;;;
;3;Brian Eno - The Big Ship (1975)\n\n Was hat der Kölner Flughafen mit Ambient Musik zutun? Als Brian Eno 1975 am Flughafen Köln/Bonn einige Stunden auf sein Flug warten musste, empfand er die Atmosphäre so erdrückend, dass er ein Album geschrieben hatte, dass den wartenden Menschen etwas inspiration schenken soll. Das Ergebnis war das 1978 erschienene Album “Music for Airports”, das heute als der Wegbereiter der Ambient Musik gilt. “The Big Ship” stammt aus dem 1975 veröffentlichen Album “Another Green World” und ist für mich mein Einstig in die Ambient Musik gewesen. Gefunden habe ich es beim durchschauen der Tracklist einer Listening Session circa 2015. Seither ist es ständiger Begleiter und Inspirationsquelle gewesen und wird für immer einer der wichtigsten Musikstücke für mich sein.;;;;
;4;Donatz Dozzy - Vaporwave 01(2013)\n\n Wenn Regen Musik schreiben könnte, dann würde daraus Vaporware 01 entstehen. Besonders interessant ist der Aufbau des Songs, angefangen vom Regensound, über zu leichten Percussion sounds, bis hin zu einer immer lauter werdenden Melodie. Bildlich gesprochen scheint es fast so, als würde im Laufe des Stücks der Regen abnehmen und Sonne kurz hervorkommen, bevor sie dann doch wieder hinter der Wolkendecke verschwindet.;;;;
;5;Brian Eno & John Cale - Spinning Away (1990)\n\n “Some kind of change, some kind of spinning away. With every single line moving further out in time.” \n Trifft uns nicht alle manchmal das Gefühl, dass wir Dinge verändern und loslassen und die Erinnerungen nach und nach in der Zeit verblassen? Spinning Away verkörpert genau das. Loslassen und neue Richtungen gehen. War das auch die Idee, wieso “Spinning away” der Soundtrack von The Beach war? Besonders beeindruckend finde ich das Zusammenspiel von John Cale’s Stimme, den Streichern und der Gitarre. Für mich ist “Spinning away” wahrscheinlich mit der emotionalste Song, der zu nahezu jeder Lebens- und Gefühlslage passt. Kurz gesagt: Überlegt euch einmal welchen Song ihr mit auf eine einsame Insel nehmen würdet, auf der ihr den Rest eures Lebens verbringt. Ihr dürft nur diesen einen Song hören. Für mich wäre es “Spinning away”. Was wäre eurer?;;;;
;6;Talking Heads - This Must Be The Place (Naive Melody) (1982) \n\n Während meiner Asien-Reise gab es wahrscheinlich keinen Song den ich öfter gehört habe als diesen. Wo sind wir zu Hause, wann sind wir es und mit wem? Ein ungewöhnliches, nahezu naives  Liebeslied. “Feet on the ground, Head in the sky…”;;;;
;7;Gary Bartz Ntu Troop - Celestial Blues (1971)\n\n Als  ich 2017 mit meinem Umzug nach Köln auch Musik außerhalb dem elektronischen Spektrum mehr zu schätzen gelernt habe, bin ich immer mal wieder im Bariton gelandet. Jeden Donnerstag gab es Jazz-Jam Sessions, die mich bis heute immer noch sehr anziehen. Celestial Blues war für mich der Einstieg in die Jazz-Welt. Gerade das prägnante Saxophon macht den Song wahnsinnig interessant.;;;;
;8;Agnes Obel - Familiar (2016) \n\n Wer die Serie “Dark” gesehen hat, kann sich vielleicht an diesen Song erinnern. Was eine tolle Wahl, um die Atmosphäre einzufangen. Übrigens: Hier singt nur eine Person!;;;;
;9;Headache - Miss Understood (2023)\n\n Schon wieder Trip Hop, aber irgendwie anders! Headache stellen vieles auf den Kopf, was Ambient, Techno, Minimal, Electronica und andere Genre dieser Art ausmachen. Prägnante Snare Sounds treffen auf lange, “landschaftliche” Sounds und wirken sentimental und nostalgisch. Dazu gesellen sich absurde Lyrics, vorgetragen von einer Roboterstimme? Ist das die Zukunft von Musik? Wir wissen es nicht, aber wäre es nicht ungerecht den Robotern nicht auch eine Chance zu geben?;;;;
;10;Burial - Archangel (2007)\n\n Als einer der frühen Vorläufer des Dubstep hat sich Burial in der UK-Szene einen Namen gemacht. Nach wie vor bleibt Burial anonym und es ist kaum etwas über seine Person bekannt. Seine Musik allerdings ist eine sehr interessante Mischung aus Ambient, House und 2-Step-Elementen, die oft einen melancholischen Touch haben.;;;;
;11;Biosphere - Birds Fly By Flapping Wings (2006) \n\n Die Musik von Geir Jenssen aka Biosphere zeigt oft nahe Verbindungen zur Natur, was nicht nur in den Songtiteln, sondern auch in der Musik selbst zu hören ist. Teilweise sind es sehr ungewöhnlich klingende Soundschnipsel, die tatsächlich an Naturgeräusche oder Landschaftsbilder erinnern. Biosphere Musik begleitet mich heute immer dann, wenn ich konzentriert sein muss. “Birds Fly By Flapping Their Wings” eignet sich perfekt, weil es so sehr repetitiv ist ohne mit zu vielen Instrumenten oder Gesang zu überladen.;;;;
;12;André 3000 - The Slang Word P(*)ssy Rolls Off The Tongue With Far Better Ease Than The Proper Word Vagina . Do You Agree?(2023)\n\n André 3000 hat sich zwar mit seinem wesentlich erfolgreicheren Musikprojekt “Outkast” einen viel größeren Namen gemacht, er ist aber auch als Solo-Künstler sehr kreativ und avantgardistisch unterwegs. Sein Album “New Blue Sun” ist ein sehr gewagtes Album, mit Elementen von experimenteller Flötenmusik, das von vielen Musikern belächelt wird. Ich finde allerdings persönlich, dass speziell dieser Track sehr interessante Elemente mitbringt. Speziell die verschiedenen “Texturen” des Songs und die hohen Oktaven des Synthesizers erinnern mich an Jazz-Musik, die mir doch über die letzten Jahre and Herz gewachsen ist.;;;;
